"date","iso_4217","value"
"1952-01-10","CAD",11.16
"1952-02-06","CAD",11.67
"1952-04-28","CAD",11.74
"1952-08-01","CAD",11.74
"1952-08-18","CAD",12.03
"1952-12-05","CAD",11.86
"1953-01-01","CAD",11.86
"1953-04-10","CAD",11.86
"1953-06-05","CAD",11.74
"1954-04-01","CAD",11.74
"1955-03-01","CAD",11.74
"1955-09-01","CAD",11.74
"1956-01-01","CAD",11.74
"1956-03-01","CAD",11.74
"1957-04-01","CAD",11.74
"1957-05-15","CAD",11.74
"1957-07-01","CAD",11.74
"1957-07-15","CAD",11.74
"1957-08-16","CAD",11.74
"1957-09-16","CAD",11.74
"1957-10-01","CAD",11.74
"1958-01-01","CAD",11.74
"1958-03-01","CAD",11.74
"1958-04-01","CAD",11.74
"1958-06-01","CAD",11.74
"1958-07-10","CAD",12.21
"1958-09-15","CAD",12.09
"1958-11-01","CAD",12.09
"1958-12-29","CAD",12.09
"1959-03-01","CAD",12.09
"1959-04-01","CAD",12.09
"1959-05-05","CAD",12.15
"1959-06-01","CAD",12.15
"1959-06-30","CAD",12.21
"1959-09-01","CAD",12.33
"1959-11-02","CAD",12.39
"1959-12-01","CAD",12.27
"1960-01-01","CAD",12.27
"1960-02-01","CAD",12.27
"1960-03-01","CAD",12.27
"1960-04-22","CAD",12.15
"1960-05-25","CAD",11.97
"1960-09-01","CAD",12.09
"1960-11-01","CAD",11.97
"1961-01-01","CAD",11.97
"1961-02-01","CAD",11.74
"1961-03-01","CAD",11.86
"1961-03-07","CAD",11.86
"1961-07-01","CAD",11.39
"1961-08-10","CAD",11.39
"1961-12-04","CAD",11.27
"1962-01-01","CAD",11.27
"1962-02-01","CAD",11.27
"1962-05-01","CAD",11.18
"1962-06-01","CAD",10.86
"1963-04-01","CAD",10.86
"1963-09-01","CAD",10.86
"1965-01-01","CAD",10.86
"1965-08-16","CAD",10.86
"1966-02-14","CAD",10.86
"1966-06-13","CAD",10.86
"1966-12-01","CAD",10.86
"1967-02-23","CAD",10.86
"1967-07-08","CAD",10.86
"1967-11-20","CAD",10.86
"1969-01-01","CAD",27.75
"1969-08-11","CAD",27.75
"1969-10-27","CAD",27.75
"1971-04-01","CAD",29.85
"1971-06-30","CAD",29.4
"1971-08-16","CAD",29.4
"1971-12-23","CAD",27.63
"1972-02-01","CAD",27.63
"1972-05-22","CAD",27.63
"1973-01-20","CAD",27.63
"1973-03-20","CAD",25.42
"1973-09-21","CAD",23.38
"1974-01-01","CAD",23.38
"1974-03-12","CAD",23.38
